Old,New,productname,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g,nutrition-score-fr_100g,new_scores,new_nutri_grades,utility_1,utility_2,utility_3,utility_4,utility_5,utility_6
3521,0,Papillotes Chocolat Noir,e,2286.0,19.0,46.0,6.3,6.3,0.012,21.0,11.47619,c,0.0,0.0,0.0,1.952381,6.3809524,3.1428571
425,1,Chipolatas aux herbes,d,770.0,4.6,0.8,0.0,18.0,0.72,13.0,12.666667,c,2.4761905,0.42857143,2.4285714,0.0,6.9047619,0.42857143
3374,2,Salsifis,a,117.0,0.05,1.4,2.7,1.1,0.26,-5.0,17.285714,a,3.6666667,3.047619,2.4285714,1.7142857,3.8095238,2.6190476
1237,3,Noix de coco,c,2828.0,60.0,6.9,15.0,8.1,0.008,4.0,12.857143,c,0.0,0.0,1.3809524,1.952381,6.3809524,3.1428571
3706,4,Foie gras de canard entier du sud-ouest,e,2192.0,22.0,0.8,0.0,8.2,0.364,20.0,10.380952,c,0.0,0.0,2.4285714,0.0,6.3809524,1.5714286
5064,5,Gaufres Fruits des Bois,d,1151.0,4.9,15.0,0.0,4.5,0.28,13.0,13.095238,b,2.3809524,0.42857143,1.2857143,0.0,6.3809524,2.6190476
2367,6,Fromage de chevre frais,d,1318.0,18.0,1.7,0.0,16.0,0.56,14.0,11.142857,c,1.3809524,0.0,2.4285714,0.0,6.9047619,0.42857143
3178,7,Cola Classic,e,159.0,0.0,9.3,0.0,0.0,0.0,13.0,10.52381,c,3.047619,3.047619,1.2857143,0.0,0.0,3.1428571
3060,8,Pomme de terre,a,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,12.285714,c,3.6666667,3.047619,2.4285714,0.0,0.0,3.1428571
922,9,Figues de Montagne,b,1226.0,0.3,49.0,11.0,3.3,0.072,1.0,14.857143,b,1.3809524,3.047619,0.0,1.952381,5.8571429,2.6190476
5516,10,Pasta Pipe Rigate (10 min Al dente),a,1458.0,0.5,3.5,3.0,12.0,0.012,-4.0,18.857143,a,1.3809524,3.047619,2.4285714,1.952381,6.9047619,3.1428571
640,11,Moelleux chocolat,d,1718.0,4.3,32.0,2.9,5.1,0.316,16.0,11.142857,c,1.047619,0.42857143,0.0,1.7142857,6.3809524,1.5714286
2157,12,"Galettes riz, poivrons, courgettes, lait de coco, epices colombo",a,715.0,1.6,2.2,3.7,11.0,0.292,-2.0,18.428571,a,3.047619,1.4761905,2.4285714,1.952381,6.9047619,2.6190476
812,13,Jambon sec Italien,d,860.0,4.4,0.5,0.0,30.0,2.4,16.0,12.238095,c,2.4761905,0.42857143,2.4285714,0.0,6.9047619,0.0
4200,14,Oeufs de Lompe,c,335.0,0.7,0.0,0.0,10.0,2.0,5.0,15.428571,b,3.047619,3.047619,2.4285714,0.0,6.9047619,0.0
1685,15,Ravioli aux legumes,b,360.0,0.3,2.2,1.7,2.9,0.356,2.0,15.761905,b,3.047619,3.047619,2.4285714,0.42857143,5.2380952,1.5714286
3715,16,Noir fleur de sel,e,2396.0,25.0,36.0,10.0,7.6,0.128,20.0,10.952381,c,8.8817842e-16,0.0,0.0,1.952381,6.3809524,2.6190476
2910,17,Millefeuille,d,0.0,11.5,20.7,0.0,4.0,0.192,16.0,13.52381,b,3.6666667,0.0,0.85714286,0.0,6.3809524,2.6190476
5200,18,Yaourt  a  la banane,c,409.0,2.0,14.0,0.0,3.0,0.04,4.0,13.142857,b,3.047619,0.42857143,1.2857143,0.0,5.2380952,3.1428571
5392,19,Raclette Bio  (27% MG),d,1441.0,16.2,0.0,0.0,25.0,0.85344,18.0,10.714286,c,1.3809524,0.0,2.4285714,0.0,6.9047619,0.0
910,20,Pizza Pollo,b,905.0,2.5,0.8,1.9,11.0,0.388,2.0,14.238095,b,2.4761905,0.42857143,2.4285714,0.42857143,6.9047619,1.5714286
