,Food,Score,Nutri-Score
183,Pétales De Saumon Fumé Sauvage,248023.0,d
89,Confiture d'abricot Pétales de Rose,237958.0,c
175,Confit de pétales de roses,237958.0,d
176,Confit de pétales de rose,237958.0,d
178,Pétales de rose,237958.0,d
179,Pétales de roses,237958.0,d
181,Petales de rose,237958.0,d
239,Spécialité gourmande pétale de rose,237958.0,d
73,Céréales Petale Choc,202887.0,c
235,Pétales de jambon de Vendée PETITGAS,187857.0,d
240,Petales de jambon cru,187857.0,d
199,Pétales de maïs enrobés au sucre,187753.0,d
172,Pétales de saumon fumé,185603.0,d
174,Confit De Pétales De Violettes,184205.0,d
177,Confit de pétales de rose de Provence,184205.0,d
109,Cini Minis Crunchy Muesli,183589.0,c
206,Kellogg's Frosted Flakes,177587.0,d
11,Flakes d'Épeautre Complet,177570.0,a
128,Confiture De Fraises Aux Pétales De Roses,174429.0,c
180,Spécialité de Rose,174429.0,d
236,Confiture framboise pétales de rose,174429.0,d
164,Pétales de patate douce bio,158440.0,d
259,Barres de céréales et pétales de maïs talon lait,154177.0,e
28,Clair fibres,146523.0,a
169,Pétales salés,144087.0,d
215,Pétales soufflés croquants,144087.0,d
221,Pétales Salés,144087.0,d
242,Pétales goût Salé,144087.0,d
154,Life Chocolat,139323.0,c
4,Pétale de maïs nature,135656.0,a
21,Pétales de mais,135656.0,a
187,Pétales de riz et blé complet chocolat noir,133170.0,d
94,Mix Muesli & Flakes Chocolat Noisette,129351.0,c
220,Petales ondulés poivre & sel,123607.0,d
254,Pétales de Tompinambour,120643.0,e
268,Dragées cœur pétale d'amour (vert tilleul),118733.0,e
82,Spécial K Barres Croustillantes fruits rouges,118657.0,c
132,Pétales de céréales & copeaux de chocolat sans gluten,114579.0,c
143,Pétales & Form' Chocolat noir,114573.0,c
191,Choco Shells,114439.0,d
66,Choco Curlz,114417.0,c
95,Pétales Epeautre complet et riz au chocolat,112634.0,c
117,Pétales choco craquants,112579.0,c
201,Crowni Special flakes,112141.0,d
120,COCO pops,110262.0,c
139,Pétales chocolat,110214.0,c
92,petales croustillants saveur oignon,106279.0,c
231,Pétales copeaux de chocolat,104634.0,d
184,Les recettes belin fines au four goût fromage frais et oignon,104265.0,d
67,Stylesse Chocolat Noir,102907.0,c
96,Stylesse chocolat noir,102907.0,c
97,Petales De Riz Ble Complet Chocolat,102907.0,c
98,Stylesses chocolat noir,102907.0,c
131,Petale Riz et Ble Complet,102694.0,c
256,"Pétales De Saucisson Finement Tranchés, Bio,",102690.0,e
168,Pétales goût salé,101926.0,d
12,Fitness nutritious energy,101318.0,a
5,Flakes de sarrasin,100382.0,a
6,"Barres aux amandes, baies de goji, pétales de rose et huile essentielle de géranium",99504.0,a
10,Pétales d'Epeautre,99504.0,a
16,Pétales de Blé fruits rouges,99504.0,a
17,Special flakes - Red berries,99504.0,a
18,Pétales épeautre complet & riz,99504.0,a
23,Muesli sans gluten,99504.0,a
30,Muesli Graines Anciennes,99504.0,a
46,Pétale de Blé goût chocolat,99503.0,b
112,Céréales pétales au chocolat,99501.0,c
64,Barre de céréales riz et blé complet chocolat noir,97912.0,c
192,Riz et blé complet chocolat,93081.0,d
113,Oatbran Crisp Nuts & Honey,91641.0,c
209,Fruits & fibres,84026.0,d
194,"Pétales de riz, blé complet et orge chocolat noir",82322.0,d
222,Pétales Cereales Chocolat Noir,82322.0,d
171,Fruits et Fibres,82306.0,d
147,Vita Choco,81835.0,c
126,Pétales de Maïs Glacés au Sucre,80068.0,c
160,Spécial K au chocolat au lait,80068.0,d
133,Forme Fruits Rouges,76768.0,c
165,Roses Des Sables Choc Noir,74821.0,d
121,Corn Flakes Dia,74394.0,c
93,Pétales de blé goût Chocolat (maxi pack),74330.0,c
87,Pétales De Riz Et Blé Complet Aux Fruits Rouges,69148.0,c
200,Petales de Cereales Bio,64563.0,d
249,Chocolat Lait Maïs Bio,57989.0,e
110,Corn flakes pétales de maïs dorés,57321.0,c
251,Pétales de coco curry thaï,44530.0,e
163,FROSTIES,43609.0,d
162,Frosties,43605.0,d
204,Pétales de maïs sucré,36582.0,d
137,Déliform Chocolat Noir,33743.0,c
76,Fitness Chocolat Noir,31352.0,c
106,Petales au chocolat noir,24707.0,c
148,Special Flakes Chocolate,22989.0,c
101,Formes flakes pétales de riz et de blé complet aux copeaux de chocolat au lait,21125.0,c
91,"Deliform chocolat noir Pétales de riz, blé complet",21119.0,c
205,Pétales de riz et de blé complet avec copeaux de Chocolat Noir,21080.0,d
257,Pétales de jambon cru - Aoste,19677.0,e
78,Paddy Pétales de blé complets,15822.0,c
173,Cruesli crispy chocolat,14921.0,d
136,Barres Céréales Chocolat,13224.0,c
244,Chocapic Coeur fondant - Maxi format,13151.0,d
247,Chocapic Barres,12758.0,d
124,Cao Flakes,12614.0,c
189,Pétales de coco,12563.0,d
250,Mini Cookies,12114.0,e
80,"Super flakes copeaux de chocolat noir, riz et épautre complet",10804.0,c
269,Noir pétales de rose,6578.0,e
271,Terrine chocolatée aux noisettes et pétales de maïs,4201.0,e
107,Petales de cereales falafel,4185.0,c
135,Pétales à la pomme de terre,3681.0,c
104,Spécial Flakes chocolat noir,2391.0,c
88,Pétales de blé au chocolat,2371.0,c
212,Pétales de riz blé complet & orge chocolat,2357.0,d
218,Pétales de Céleri,2311.0,d
262,Chocolat lait Pétales de violette,1947.0,e
157,Flakers Choco,1892.0,c
84,Pétales choco,1890.0,c
60,Petal' Choco,1844.0,c
170,Corn Fakes Choco,1838.0,d
219,Snow flakes,1826.0,d
134,Les frenchchips,1580.0,c
238,Pétales riz & blé complet aux copeaux de chocolat,534.0,d
233,Forme & Chocolat au Lait,533.0,d
